'Ornithorhynchus anatinus',
'Caluromys derbianus',
'Caluromys lanatus',
'Glironia venusta',
'Chironectes minimus',
'Didelphis virginiana',
'Gracilinanus microtarsus',
'Lestodelphys halli',
'Lutreolina crassicaudata',
'Marmosa canescens',
'Marmosa mexicana',
'Marmosa robinsoni',
'Monodelphis domestica',
'Monodelphis kunsi',
'Philander opossum',
'Thylamys elegans',
'Thylamys pallidior',
'Rhyncholestes raphanurus',
'Dromiciops australis',
'Dasyurus maculatus',
'Dasyurus viverrinus',
'Myrmecobius fasciatus',
'Isoodon obesulus',
'Perameles gunnii',
'Phalanger lullulae',
'Bettongia gaimardi',
'Macropus giganteus',
'Cercartetus concinnus',
'Cercartetus lepidus',
'Cercartetus nanus',
'Petauroides volans',
'Petaurus breviceps',
'Petaurus gracilis',
'Acrobates pygmaeus',
'Dasypus hybridus',
'Dasypus novemcinctus',
'Euphractus sexcinctus',
'Zaedyus pichiy',
'Cabassous centralis',
'Cabassous chacoensis',
'Cabassous tatouay',
'Cabassous unicinctus',
'Priodontes maximus',
'Bradypus pygmaeus',
'Bradypus torquatus',
'Bradypus tridactylus',
'Bradypus variegatus',
'Choloepus didactylus',
'Choloepus hoffmanni',
'Tamandua mexicana',
'Tamandua tetradactyla',
'Cyclopes didactylus',
'Hemicentetes semispinosus',
'Eremitalpa granti',
'Atelerix albiventris',
'Blarina brevicauda',
'Blarina carolinensis',
'Blarina hylophaga',
'Cryptotis goodwini',
'Cryptotis magna',
'Cryptotis meridensis',
'Cryptotis mexicana',
'Cryptotis parva',
'Megasorex gigas',
'Microsorex hoyi',
'Microsorex thompsoni',
'Notiosorex crawfordi',
'Sorex arcticus',
'Sorex arizonae',
'Sorex bendirii',
'Sorex cinereus',
'Sorex dispar',
'Sorex fumeus',
'Sorex gaspensis',
'Sorex granarius',
'Sorex longirostris',
'Sorex merriami',
'Sorex monticolus',
'Sorex nanus',
'Sorex ornatus',
'Sorex pacificus',
'Sorex palustris',
'Sorex preblei',
'Sorex tenellus',
'Sorex trowbridgii',
'Sorex vagrans',
'Galemys pyrenaicus',
'Condylura cristata',
'Neurotrichus gibbsii',
'Parascalops breweri',
'Scalopus aquaticus',
'Scapanus latimanus',
'Scapanus orarius',
'Scapanus townsendii',
'Solenodon paradoxus',
'Balionycteris maculata',
'Cynopterus horsfieldii',
'Cynopterus sphinx',
'Eidolon helvum',
'Epomophorus gambianus',
'Epomophorus wahlbergi',
'Hypsignathus monstrosus',
'Micropteropus pusillus',
'Pteropus hypomelanus',
'Pteropus livingstonii',
'Pteropus samoensis',
'Pteropus tonganus',
'Pteropus vampyrus',
'Rousettus egyptiacus',
'Rhinopoma hardwickii',
'Rhinopoma microphyllum',
'Rhinopoma muscatellum',
'Antrozous pallidus',
'Barbastella barbastellus',
'Bauerus dubiaquercus',
'Chalinolobus gouldii',
'Eptesicus furinalis',
'Eptesicus fuscus',
'Eptesicus nilssonii',
'Euderma maculatum',
'Eudiscopus denticulus',
'Glauconycteris variegata',
'Idionycteris phyllotis',
'Lasionycteris noctivagans',
'Lasiurus borealis',
'Lasiurus cinereus',
'Lasiurus ega',
'Lasiurus intermedius',
'Lasiurus seminolus',
'Myotis albescens',
'Myotis auriculus',
'Myotis austroriparius',
'Myotis californicus',
'Myotis chiloensis',
'Myotis ciliolabrum',
'Myotis daubentonii',
'Myotis evotis',
'Myotis grisescens',
'Myotis keaysi',
'Myotis keenii',
'Myotis leibii',
'Myotis lucifugus',
'Myotis milleri',
'Myotis nigricans',
'Myotis peninsularis',
'Myotis planiceps',
'Myotis septentrionalis',
'Myotis simus',
'Myotis sodalis',
'Myotis thysanodes',
'Myotis velifer',
'Myotis vivesi',
'Myotis volans',
'Myotis welwitschii',
'Myotis yumanensis',
'Nycticeinops schlieffeni',
'Nycticeius humeralis',
'Otonycteris hemprichii',
'Pipistrellus bodenheimeri',
'Pipistrellus nanus',
'Pipistrellus subflavus',
'Plecotus mexicanus',
'Plecotus rafinesquii',
'Plecotus townsendii',
'Rhogessa genowaysi',
'Rhogessa gracilis',
'Rhogessa mira',
'Rhogessa parvula',
'Rhogessa tumida',
'Tylonycteris pachypus',
'Vespertilio murinus',
'Myzopoda aurita',
'Thyroptera discifera',
'Thyroptera tricolor',
'Natalus major',
'Natalus micropus',
'Brachyphylla cavernarum',
'Brachyphylla nana',
'Carollia perspicillata',
'Carollia subrufa',
'Rhinophylla pumilio',
'Desmodus rotundus',
'Diaemus youngi',
'Diphylla ecaudata',
'Choeroniscus minor',
'Choeronycteris mexicana',
'Glossophaga commissarisi',
'Glossophaga leachii',
'Glossophaga longirostris',
'Glossophaga mexicana',
'Glossophaga soricina',
'Hylonycteris underwoodi',
'Leptonycteris curasoae',
'Leptonycteris nivalis',
'Leptonycteris yerbabuenae',
